Kategoria,Źródło,Tytuł,Data,Link,Podsumowanie,CVE_ID,CVSS_Score,Severity
Incydent,Ret2 Systems,Streaming Zero-Fi Shells to Your Smart Speaker,2025-06-11 10:00,https://blog.ret2.io/2025/06/11/pwn2own-soho-2024-sonos-exploit/,"In October 2024, RET2 participated in the “Small Office / Home Office” (SOHO) flavor of Pwn2Own, a competition which challenges top security researchers to compromise consumer-focused network devices. This includes popular smart speakers, routers, IP cameras, printers, and network-attached storage (...",,,
Incydent,Kaist Hacking Lab,Automated Attack Synthesis for Constant Product Market Makers,2025-06-01 00:00,https://kaist-hacking.github.io/publication/han-cpmm/,,,,
Incydent,Project Zero,The Windows Registry Adventure #7: Attack surface analysis,2025-05-23 09:05,https://googleprojectzero.blogspot.com/2025/05/the-windows-registry-adventure-7-attack-surface.html,"Posted by Mateusz Jurczyk, Google Project Zero

In the first three blog posts of this series, I sought to outline what the Windows Registry actually is, its role, history, and where to find further information about it. In the subsequent three posts, my goal was to describe in detail how this mechan...",,,
Incydent,Portswigger,"Document My Pentest: you hack, the AI writes it up!",2025-04-23 13:17,https://portswigger.net/research/document-my-pentest,Tired of repeating yourself? Automate your web security audit trail. In this post I'll introduce a new Burp AI extension that takes the boring bits out of your pen test. Web security testing can be a,,,
Incydent,Darknavy,If the Person Who Finds a Web3 Hardware Wallet is a Hacker,2025-03-30 02:00,https://www.darknavy.org/blog/if_the_person_who_finds_a_web3_hardware_wallet_is_a_hacker/,"In 2024, Web3 security incidents caused by private key leaks have surged, resulting in estimated financial losses exceeding $855 million.
Private keys function as the sole credentials for blockchain accounts, controlling access to all associated on-chain assets like cryptocurrencies and NFTs. Due to...",,,
Incydent,Darknavy,Reconstructing the $1.5 Billion Bybit Hack by North Korean Actors,2025-03-24 07:34,https://www.darknavy.org/darknavy_insight/reconstructing_the_1.5_billion_bybit_hack_by_north_korean_actors/,"
Both the Attackers and Victims Made Critical Mistakes

On February 21, 2025, the cryptocurrency exchange Bybit experienced the most significant financial loss in Web3 history when nearly $1.5 billion was illicitly transferred from its multi-signature wallet by North Korean threat actors.
The DARKNA...",,,
Incydent,Spaceraccoon,Pwning Millions of Smart Weighing Machines with API and Hardware Hacking,2025-03-24 00:03,https://spaceraccoon.dev/pwning-millions-smart-weighing-machines-api-hardware-hacking/,"Why hack one device, when you can hack all of them? By reverse-engineering and finding vulnerabilities in user-machine association flows for smart weighing machines, I was able to take over millions of internet-connected health devices. Hardware and web security are two halves of modern smart device...",,,
Incydent,Mdsec,Red Teaming with ServiceNow,2025-03-21 12:58,https://www.mdsec.co.uk/2025/03/red-teaming-with-servicenow/,"Introduction Over the course of numerous Red Team engagements MDSec has often gained privileged access to a target’s ServiceNow instance. This has, in turn, facilitated a variety of compromise actions...
The post Red Teaming with ServiceNow appeared first on MDSec.",,,
Incydent,Darknavy,Fatal Vulnerabilities Compromising DJI Control Devices,2025-03-21 02:01,https://www.darknavy.org/blog/fatal_vulnerabilities_compromising_dji_control_devices/,"As logistics drones weave through buildings and surveying equipment delineates urban landscapes, the capillaries of the low-altitude economy are sketching the future with millimeter-level precision.
DARKNAVY consistently focuses on the construction and breaching of drone security defenses. In this r...",,,
Incydent,Pt Swarm,"Last barrier destroyed, or compromise of Fuse Encryption Key for Intel Security Fuses",2025-03-20 18:12,https://swarm.ptsecurity.com/last-barrier-destroyed-or-compromise-of-fuse-encryption-key-for-intel-security-fuses/,"Introduction As experts who have spent years researching the security of hardware platforms developed by Intel, we acknowledge that Intel’s Converged Security and Management Engine security architecture is highly reliable and was designed by top-notch professionals. From an architectural perspective...",,,
Incydent,Slonser Notes,Why Protocol Matters: Evil PWA Attack on Casdoor,2025-02-04 21:00,https://blog.slonser.info/posts/why-protocol-matters/,"The article is informative and intended for security specialists conducting testing within the scope of a contract. The author is not responsible for any damage caused by the application of the provided information. The distribution of malicious programs, disruption of system operation, and violatio...",,,
Incydent,Doyensec,Common OAuth Vulnerabilities,2025-01-30T00:00:00+01:00,https://blog.doyensec.com/2025/01/30/oauth-common-vulnerabilities.html,"OAuth2’s popularity makes it a prime target for attackers. While it simplifies user login, its complexity can lead to misconfigurations that create security holes. Some of the more intricate vulnerabilities keep reappearing because the protocol’s inner workings are not always well-understood. In an ...",,,
Incydent,Pt Swarm,"New dog, old tricks: DaMAgeCard attack targets memory directly thru SD card reader",2024-12-05 16:41,https://swarm.ptsecurity.com/new-dog-old-tricks-damagecard-attack-targets-memory-directly-thru-sd-card-reader/,Did I ever tell you what the definition of insanity is? Insanity is doing the exact… same ******* thing… over and over again expecting… **** to change… That. Is. Crazy.Far Cry 3 Intro The peripheral device industry has once again sacrificed security in the name of speed. Media sizes have risen drama...,,,
Incydent,Microsoft Bvr,Mitigating RIDL Side-Channel Attack in Microsoft Edge on Windows,2024-06-24 15:00,https://microsoftedge.github.io/edgevr/posts/Mitigating-RIDL-Side-Channel-Attack-in-Microsoft-Edge-on-Windows/,,,,
Incydent,Slonser Notes,Old new email attacks,2024-05-23 12:00,https://blog.slonser.info/posts/email-attacks/,"The article is informative and intended for security specialists conducting testing within the scope of a contract. The author is not responsible for any damage caused by the application of the provided information. The distribution of malicious programs, disruption of system operation, and violatio...",,,
Incydent,Atredis Partners,Hacking Exchange from the Outside In,2024-04-22 17:00,https://www.atredis.com/blog/2024/4/22/hacking-exchange-from-the-outside-in,"Microsoft Exchange 2019 prior to March 2024 used the Oracle Outside-In libraries to parse specific file types when attached to emails if an attachment inspection mail flow was configured. By default, Exchange has no mail flow rules configured. Several file types were identified to be processed by th...",,,
Incydent,Oversecured,Introducing MavenGate: a supply chain attack method for Java and Android applications,2024-01-17 09:00,https://blog.oversecured.com/Introducing-MavenGate-a-supply-chain-attack-method-for-Java-and-Android-applications/,Table of contents:,,,
Incydent,Oversecured,Introducing MavenGate: a supply chain attack method for Java and Android applications,2024-01-10 09:00,https://blog.oversecured.com/unpublished/tienphong-7cb805c6/Introducing-MavenGate-a-supply-chain-attack-method-for-Java-and-Android-applications/,Table of contents:,,,
Incydent,Oversecured,Introducing MavenGate: a supply chain attack method for Java and Android applications,2024-01-10 09:00,https://blog.oversecured.com/unpublished/samsung-688580b1/Introducing-MavenGate-a-supply-chain-attack-method-for-Java-and-Android-applications/,Table of contents:,,,
Incydent,Oversecured,Introducing MavenGate: a supply chain attack method for Java and Android applications,2024-01-10 09:00,https://blog.oversecured.com/unpublished/mercado-784a12d7/Introducing-MavenGate-a-supply-chain-attack-method-for-Java-and-Android-applications/,Table of contents:,,,
Incydent,Oversecured,Introducing MavenGate: a supply chain attack method for Java and Android applications,2024-01-10 09:00,https://blog.oversecured.com/unpublished/keepersecurity-d78ac1c6/Introducing-MavenGate-a-supply-chain-attack-method-for-Java-and-Android-applications/,Table of contents:,,,
Incydent,Oversecured,Introducing MavenGate: a supply chain attack method for Java and Android applications,2024-01-10 09:00,https://blog.oversecured.com/unpublished/kavak-b8c16655/Introducing-MavenGate-a-supply-chain-attack-method-for-Java-and-Android-applications/,Table of contents:,,,
Incydent,Oversecured,Introducing MavenGate: a supply chain attack method for Java and Android applications,2024-01-10 09:00,https://blog.oversecured.com/unpublished/internal-208bf71c/Introducing-MavenGate-a-supply-chain-attack-method-for-Java-and-Android-applications/,Table of contents:,,,
Incydent,Intrigus,ISL-2020-005: Missing Hostname Verification and Insecure TrustManager in apache/calcite,2023-11-27 00:00,https://intrigus.org/advisories/2023/11/27/ISL-2020-005-apache-calcite/,The `HttpUtils#getURLConnection` function of apache/calcite before commit 43eeafc disabled hostname verification and used an insecure `TrustManager` for HTTPS connections making clients vulnerable to a machine-in-the-middle attack (MiTM).,,,
Incydent,Intrigus,ISL-2020-006: Missing Hostname Verification and Insecure TrustManager in apache/fineract,2023-11-27 00:00,https://intrigus.org/advisories/2023/11/27/ISL-2020-006-apache-fineract/,apache/fineract before commit e054a6f disabled hostname verification and used an insecure `TrustManager` for HTTPS connections making clients vulnerable to a machine-in-the-middle attack (MiTM).,,,
Incydent,Intrigus,ISL-2020-007: Missing Hostname Verification and Insecure TrustManager in opencast/opencast,2023-11-27 00:00,https://intrigus.org/advisories/2023/11/27/ISL-2020-007-opencast-opencast/,opencast/opencast before commit 4225bf9 disabled hostname verification and used an insecure `TrustManager` for HTTPS connections making clients vulnerable to a machine-in-the-middle attack (MiTM).,,,
Incydent,Intrigus,ISL-2020-008: Missing Hostname Verification and Insecure TrustManager in openMF/mifos-mobile,2023-11-27 00:00,https://intrigus.org/advisories/2023/11/27/ISL-2020-008-openmf-mifos-mobile/,openMF/mifos-mobile before commit e505f62 disabled hostname verification and used an insecure `TrustManager` for HTTPS connections making clients vulnerable to a machine-in-the-middle attack (MiTM).,,,
Incydent,Impalabs,Huawei TrustZone Block_Chain TA Vulnerabilities,2023-09-19 00:00,https://blog.impalabs.com/2309_advisory_huawei_trustzone_block-chain.html,"This advisory contains information about the following vulnerabilities:
- Heap Pointer Leak in delete_node
- Memory Disclosure in bc_delete_file",,,
Incydent,Impalabs,Huawei TrustZone HW_KEYMASTER Vulnerabilities,2023-09-19 00:00,https://blog.impalabs.com/2309_advisory_huawei_trustzone_hw-keymaster.html,"This advisory contains information about the following vulnerabilities:
- Write of Arbitrary Data to sec_storage_data/PKI/
- Write of Controlled Params Set in generate_keyblob
- Integer Overflow in ber_pop_front
- Stack Address Leak in cmd_verify_key
- Integer Overflow in ber_init
- Logic Issue in v...",,,
Incydent,Isosceles,"Phineas Fisher, Hacktivism, and Magic Tricks",2023-09-14 15:44,https://blog.isosceles.com/phineas-fisher-hacktivism-and-magic-tricks/,"It's said that a good magician never reveals their secrets. Computer hacking is a particularly good type of magic trick, and for the most part, hackers don't reveal their secrets either. It's sometimes hard to reconcile this, because we read about hacking all the",,,
Incydent,Ret2 Systems,JTAG ‘Hacking’ the Original Xbox in 2023,2023-08-09 10:24,https://blog.ret2.io/2023/08/09/jtag-hacking-the-original-xbox-2023/,"Released in November 2001, the original Xbox was Microsoft’s first venture into the game console industry. With its hardware closely resembling a cheap but versatile PC of the early 2000s, the device came under the immediate scrutiny of technical hobbyists looking to run ‘homebrew’ code and alternat...",,,
Incydent,Isosceles,Announcing Isosceles,2023-07-24 15:52,https://blog.isosceles.com/announcing-isosceles/,"Today I'm very excited to announce the launch of my new security consulting company, Isosceles. I created Isosceles to help companies build secure products, and to share my insights about hacking, security research, and application security. Isosceles will focus on high-end technical services includ...",,,
Incydent,Aleph Research Posts,Why is it so hot here? Hacking Electra Smart air conditioners for fun and profit,2023-06-19 00:00,https://alephsecurity.com/2023/06/19/electra-smart/,,,,
Incydent,Aleph Research Vulns,Unauthorized attacker can connect to the MQTT server controlling all of Electra's Smart AC units and gain full control of them,2023-03-12 00:00,https://alephsecurity.com/vulns/aleph-2023005,,,,
Incydent,Web Insecurity Blog,Sie wurden von einem Hacker kontaktiert?,2023-01-09 23:00,https://security.lauritz-holtmann.de/kontaktiert-von-einem-hacker/,"Ein “Hacker” hat Sie kontaktiert um vermeintliche Sicherheitslücken zu melden? Das hat wahrscheinlich schon jeder, der eine Webseite betreibt, einmal erlebt. Doch was bedeutet das nun für Sie und Ihr Unternehmen? Welche Schritte sollten Sie kurz- und langfristig ergreifen?",,,
Incydent,Ysanatomic,Abusing RCU callbacks with a Use-After-Free read to defeat KASLR,2023-01-04 14:00,http://anatomic.rip/abusing_rcu_callbacks_to_defeat_kaslr/,"Introduction In this article, I will be walking you through a clever technique that can be used to leak addresses and defeat KASLR in the Linux Kernel when you have a certain type of Use-After-Free by abusing RCU callbacks. It is by no means a novel technique and has most likely been leveraged in se...",,,
Incydent,Kylebot,[angry-FSROP] Bypassing vtable Check in glibc File Structures,2022-10-22 22:20,http://blog.kylebot.net/2022/10/22/angry-FSROP/,"IntroductionThe story began with a student, @Ramen, asking me about the status of file structure attacks nowadays two days ago. He told me there were no public attacks that grant PC-control solely from file structure attacks in glibc-2.35 and I was a bit skeptical about it because I have heard about...",,,
Incydent,Renwa,Opera Browser VPN Bypass,2022-09-22 10:51,https://medium.com/@renwa/opera-browser-vpn-bypass-20877aaf08c0?source=rss-3f8ae70e3957------2,While looking at Opera functionalities I stumbled upon the built-in VPN inside the browser and I was able to find a technique that allow an attacker to bypass the VPN connection and get the users real IP.You can enable the VPN in settings and starting using itThere is another functionality called By...,,,
Incydent,Jub0Bs,Existence oracle for Secure cookies on insecure Web origins,2022-09-12 07:30,https://jub0bs.com/posts/2022-09-11-existence-oracle-for-secure-cookies-on-insecure-web-origins/,"TL;DR ¶
In this post, I present an XSLeak technique that allows an active network attacker
to observe, from an insecure Web origin, the presence or absence of some Secure cookie
that may have been set by the origin’s secure counterpart.
Cookies’ crumbly beginnings ¶
Netscape (Lou Montulli, more prec...",,,
Incydent,Secret Club,Improving MBA Deobfuscation using Equality Saturation,2022-08-08 23:00,https://secret.club/2022/08/08/eqsat-oracle-synthesis.html,"This blog post will first give a brief overview of obfuscation based on Mixed-Boolean-Arithmetic (MBA), how it has historically been attacked and what are the known limitations. The main focus will then shift to an extension of the oracle-based synthesis approach, detailing how combining program syn...",,,
Incydent,Positive Technologies,How to detect a cyberattack and prevent money theft,2021-07-19 10:54,http://blog.ptsecurity.com/2021/07/how-to-detect-cyberattack-and-prevent.html,"Money theft is one of the most important risks for any organization, regardless of its scope of activity. According to our data, 42% of cyberattacks on companies are committed to obtain direct financial benefits.  You can detect an attack at various stages — from network penetration to the moment wh...",,,
Incydent,Mozilla Attack Defense,Insights into HTTPS-Only Mode,2021-03-10 09:40,https://blog.mozilla.org/attack-and-defense/2021/03/10/insights-into-https-only-mode/,"  In a recent academic publication titled HTTPS-Only: Upgrading all connections to https in Web Browsers (to appear at MadWeb – Measurements, Attacks, and Defenses for the Web) we present … Read more",,,
Incydent,Aleph Research Posts,Revised Homograph Attacks - Part 3,2021-02-28 00:00,https://alephsecurity.com/2021/02/28/revised-homograph-attacks3/,,,,
Incydent,Xdavidhu,"Stealing Your Private YouTube Videos, One Frame at a Time",2021-01-11 11:00,https://bugs.xdavidhu.me/google/2021/01/11/stealing-your-private-videos-one-frame-at-a-time/,"Back in December 2019, a few months after I started hacking on Google VRP, I was looking at YouTube. I wanted to find a way to get access to a Private video which I did not own.",,,
Incydent,Doar E,Modern attacks on the Chrome browser : optimizations and deoptimizations,2020-11-17 08:00,https://doar-e.github.io/blog/2020/11/17/modern-attacks-on-the-chrome-browser-optimizations-and-deoptimizations/,"Introduction
Late 2019, I presented at an internal Azimuth Security conference some work on hacking Chrome through it's JavaScript engine. 
One of the topics I've been playing with at that time was deoptimization and so I discussed, among others, vulnerabilities in the deoptimizer. For my talk at In...",,,
Incydent,Aleph Research Posts,Revised Homograph Attacks - Part 2,2020-07-23 00:00,https://alephsecurity.com/2020/07/23/revised-homograph-attacks2/,,,,
Incydent,Doar E,Introduction to TurboFan,2019-01-28 16:00,https://doar-e.github.io/blog/2019/01/28/introduction-to-turbofan/,"Introduction
Ages ago I wrote a blog post here called first dip in the kernel pool, this year we're going to swim in a sea of nodes!
The current trend is to attack JavaScript engines and more specifically, optimizing JIT compilers such as V8's TurboFan, SpiderMonkey's IonMonkey, JavaScriptCore's Dat...",,,
Incydent,Ods Security Research,Samsung Galaxy S4 (Qualcomm APQ8064) - Persistent Secure Boot Bypass,2017-05-10 00:00,https://oddsolutions.github.io/Galaxy-S4-Research/,How denying your son an iPhone can lead to a promising hardware-hacking career,,,
Zagrożenie,Checkpoint Research,13th October – Threat Intelligence Report,2025-10-13 08:53,https://research.checkpoint.com/2025/13th-october-threat-intelligence-report/,"For the latest discoveries in cyber research for the week of 13th October, please download our Threat Intelligence Bulletin. TOP ATTACKS AND BREACHES Qilin ransomware group has claimed responsibility for targeting Asahi, Japan’s largest brewing company, that had been hacked on September 29th. The at...",,,
Zagrożenie,Checkpoint Research,Nimbus Manticore Deploys New Malware Targeting Europe,2025-09-22 12:59,https://research.checkpoint.com/2025/nimbus-manticore-deploys-new-malware-targeting-europe/,"Nimbus Manticore Deploys New Malware Targeting Europe Key Findings Introduction Since early 2025, Check Point Research (CPR) has tracked waves of Nimbus Manticore activity. Known as UNC1549 or Smoke Sandstorm, Nimbus Manticore is a mature Iran-nexus APT group that primarily targets aerospace and def...",,,
Zagrożenie,Checkpoint Research,Under the Pure Curtain: From RAT to Builder to Coder,2025-09-16 12:57,https://research.checkpoint.com/2025/under-the-pure-curtain-from-rat-to-builder-to-coder/,"Research by: Antonis Terefos (@Tera0017) Key Points Introduction The Pure malware family is a suite of malicious tools developed and sold by the author known as PureCoder. This suite includes PureHVNC RAT (a remote administration tool and predecessor to PureRAT), PureCrypter (a malware obfuscator), ...",,,
Zagrożenie,Checkpoint Research,15th September – Threat Intelligence Report,2025-09-15 12:43,https://research.checkpoint.com/2025/15th-september-threat-intelligence-report/,"For the latest discoveries in cyber research for the week of 15th September, please download our Threat Intelligence Bulletin. TOP ATTACKS AND BREACHES Panama’s Ministry of Economy and Finance (MEF) was hit by a ransomware attack that resulted in the theft of more than 1.5TB of data, including email...",,,
Zagrożenie,Atredis Partners,Advisory Blog Series: Ransomware Readiness Part 2 – What Does it Really Mean to be Ready?,2024-08-19 11:00,https://www.atredis.com/blog/2024/8/15/ransomware-readiness-what-does-it-really-mean-to-be-ready,"We’ve all been asked at some point in our lives – “Are you ready?”. That usually strikes me as a somewhat loaded question, “ready for what?”. Chances are that if you’re being asked “are you ready”, it’s because it’s something you haven’t done before, or because that thing that you are supposed to be...",,,
Zagrożenie,Matteo Malvica,IRQLs Close Encounters of the Rootkit Kind,2022-01-03 00:00,https://www.matteomalvica.com/blog/2022/01/03/irqls-rootkits/,"IRQL Overview Present since the early stages of Windows NT, an Interrupt Request Level (IRQL) defines the current hardware priority at which a CPU runs at any given time. On a multi-processor architecture, each CPU can hold a different and independent IRQL value, which is stored inside the CR8 regis...",,,
Zagrożenie,Positive Technologies,PHDays 10 IDS Bypass contest: writeup and solutions,2021-08-09 15:01,http://blog.ptsecurity.com/2021/08/phdays-10-ids-bypass-contest-writeup.html,"For the second time, the IDS Bypass contest was held at the Positive Hack Days conference. Just like last time (see blog.ptsecurity.com/2019/07/ids-bypass-contest-at-phdays-writeup.html), the players were supposed not only to find flaws in the six services and capture the flags, but also bypass the ...",,,
Zagrożenie,Positive Technologies,"APT31 new dropper. Target destinations: Mongolia, Russia, the U.S., and elsewhere",2021-08-03 14:38,http://blog.ptsecurity.com/2021/08/apt31-new-dropper-target-destinations.html,"Our pros at the PT Expert Security Center regularly spot emerging threats to information security and track the activity of hacker groups. During such monitoring in April 2021, a mailing list with previously unknown malicious content was sent to Mongolia. Similar attacks were subsequently identified...",,,
Zagrożenie,Matteo Malvica,Linked List in the Kernel: 'Practical Reverse Engineering' solutions - Part 1,2021-01-01 00:00,https://www.matteomalvica.com/blog/2021/01/01/practical-re-win-solutions-ch3-linked-lists/,"Introduction Lately, I dusted off the marvelous ‘Practical Reverse Engineering’ book by Bruce Dang & Co. which made me realize it would be useful to structure notes along each chapter’s exercises. Could be a valuable reference for the future, especially anything related to Chapter 3 (Windows Kernel)...",,,
Luka,Darknavy,About,2025-10-14 08:33,https://www.darknavy.org/about/,"DARKNAVY, headquartered in Singapore and Shanghai, is an independent cybersecurity research and services organization. We are pioneers in AVSS (Adversarial Vulnerability Scoring System) and quantitative security, as well as the founding team behind the international hacking competition GEEKCON.
Foun...",,,
Luka,Spaceraccoon,"Hacking the Nokia Beacon 1 Router: UART, Command Injection, and Password Generation with Qiling",2025-10-13 00:00,https://spaceraccoon.dev/nokia-beacon-router-uart-command-injection/,The Nokia Beacon 1 proved to be an interesting journey covering the full spectrum of techniques from hardware debug interfaces to firmware extraction and finally both static and dynamic analysis. I was rewarded with interesting findings including a (now-patched) command injection.,,,
Luka,Watchtowr Labs,More Than DoS (Progress Telerik UI for ASP.NET AJAX Unsafe Reflection CVE-2025-3600),2025-10-10 14:13,https://labs.watchtowr.com/more-than-dos-progress-telerik-ui-for-asp-net-ajax-unsafe-reflection-cve-2025-3600/,"Welcome back. We’re excited to yet again publish memes under the guise of research and inevitably receive hate mail. But today, we’ll be doing something slightly different to normal.“Wow, watchTowr, will you actually be publishing useful information instead of memes?”Today, instead of",,,
Luka,Cisco Talos,Velociraptor leveraged in ransomware attacks,2025-10-09 10:00,https://blog.talosintelligence.com/velociraptor-leveraged-in-ransomware-attacks/,"Cisco Talos has confirmed that ransomware operators are leveraging Velociraptor, an open-source digital forensics and incident response (DFIR) tool.",,,
Luka,Doyensec,ksmbd - Exploiting CVE-2025-37947 (3/3),2025-10-08T00:00:00+02:00,https://blog.doyensec.com/2025/10/08/ksmbd-3.html,"Introduction
This is the last of our posts about ksmbd. For the previous posts, see part1 and part2.
Considering all discovered bugs and proof-of-concept exploits we reported, we had to select some suitable candidates for exploitation. In particular, we wanted to use something reported more recently...",,,
Luka,Zdi,Crafting a Full Exploit RCE from a Crash in Autodesk Revit RFA File Parsing,2025-10-08 14:00,https://www.thezdi.com/blog/2025/10/6/crafting-a-full-exploit-rce-from-a-crash-in-autodesk-revit-rfa-file-parsing,"In April of 2025, my colleague Mat Powell was hunting for vulnerabilities in Autodesk Revit 2025. While fuzzing RFA files, he found the following crash (CVE-2025-5037 / ZDI-CAN-26922, addressed by Autodesk in July 2025):
Is this an exploitable crash? From the debugger output crash point as seen abov...",,,
Luka,Synacktiv,LLM Poisoning [1/3] - Reading the Transformer's Thoughts,2025-10-08 00:00,https://www.synacktiv.com/en/publications/llm-poisoning-13-reading-the-transformers-thoughts,"



 





LLM Poisoning [1/3] - Reading the Transformer's Thoughts


08/10/2025


Development
Exploit
Reverse-engineering


                   Your local LLM can hack you.

This three-part series reveals how tiny weights edits can implant stealthy backdoors that stay dormant in everyday use, then f...",,,
Luka,Talos Reports,OpenPLC OpenPLC_v3 ModbusTCP server denial of service vulnerability,2025-10-07 00:00,https://talosintelligence.com/vulnerability_reports/TALOS-2025-2223,,,,
Luka,Talos Reports,Planet WGR-500 swctrl OS command injection vulnerabilities,2025-10-07 00:00,https://talosintelligence.com/vulnerability_reports/TALOS-2025-2227,,,,
Luka,Talos Reports,Planet WGR-500 formPingCmd OS command injection vulnerabilities,2025-10-07 00:00,https://talosintelligence.com/vulnerability_reports/TALOS-2025-2229,,,,
Luka,Talos Reports,Planet WGR-500 formPingCmd format string vulnerability,2025-10-07 00:00,https://talosintelligence.com/vulnerability_reports/TALOS-2025-2228,,,,
Luka,Talos Reports,Planet WGR-500 formPingCmd stack-based buffer overflow vulnerabilities,2025-10-07 00:00,https://talosintelligence.com/vulnerability_reports/TALOS-2025-2226,,,,
Luka,NVD (NIST),CVE-2025-0603 - CRITICAL (9.8),2025-10-07,https://nvd.nist.gov/vuln/detail/CVE-2025-0603,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Callvision Healthcare Callvision Emergency Code allows SQL Injection, Blind SQL Injection.This issue affects Callvision Emergency Code: before V3.0.",CVE-2025-0603,9.8,CRITICAL
Luka,NVD (NIST),CVE-2025-11389 - HIGH (8.8),2025-10-07,https://nvd.nist.gov/vuln/detail/CVE-2025-11389,A security flaw has been discovered in Tenda AC15 15.03.05.18. Affected is an unknown function of the file /goform/saveAutoQos. Performing manipulation of the argument enable results in stack-based buffer overflow. Remote exploitation of the attack is possible. The exploit has been released to the p...,CVE-2025-11389,8.8,HIGH
Luka,NVD (NIST),CVE-2025-11390 - MEDIUM (4.3),2025-10-07,https://nvd.nist.gov/vuln/detail/CVE-2025-11390,A weakness has been identified in PHPGurukul Cyber Cafe Management System 1.0. Affected by this vulnerability is an unknown functionality of the file /search.php of the component POST Parameter Handler. Executing manipulation of the argument searchdata can lead to cross site scripting. The attack ca...,CVE-2025-11390,4.3,MEDIUM
Luka,NVD (NIST),CVE-2025-11396 - HIGH (7.3),2025-10-07,https://nvd.nist.gov/vuln/detail/CVE-2025-11396,A vulnerability was identified in code-projects Simple Food Ordering System 1.0. Impacted is an unknown function of the file /product.php. Such manipulation of the argument Category leads to sql injection. The attack can be launched remotely. The exploit is publicly available and might be used.,CVE-2025-11396,7.3,HIGH
Luka,NVD (NIST),CVE-2025-3718 - HIGH (7.9),2025-10-07,https://nvd.nist.gov/vuln/detail/CVE-2025-3718,"A client-side path traversal vulnerability was discovered in the web management interface front-end due to missing validation of an input parameter. An authenticated user with limited privileges can craft a malicious URL which, if visited by an authenticated victim, leads to a Cross-Site Scripting (...",CVE-2025-3718,7.9,HIGH
